Edad,Qx,Px,Vx,lx,dx,Cx,Dx,Mx,Nx,Rx,Sx
72,0.012285,0.987715,0.119047374,86503.19758,1062.691782,122.8258897,10297.97854,6298.235067,137324.1176,99531.49149,1297530.493
73,0.013668,0.986332,0.115579975,85440.50579,1167.800833,131.0430983,9875.211531,6175.409177,127026.1391,93233.25643,1160206.376
74,0.015235,0.984765,0.112213568,84272.70496,1283.89466,139.8741755,9456.540912,6044.366079,117150.9275,87057.84725,1033180.237
75,0.017009,0.982991,0.108945212,82988.8103,1411.556674,149.3032434,9041.233506,5904.491903,107694.3866,81013.48117,916029.3093
76,0.019024,0.980976,0.10577205,81577.25363,1551.925673,159.3692817,8628.593365,5755.18866,98653.15312,75108.98927,808334.9226
77,0.021312,0.978688,0.102691311,80025.32795,1705.499789,170.0388437,8217.90583,5595.819378,90024.55975,69353.80061,709681.7695
78,0.023915,0.976085,0.099700302,78319.82816,1873.018691,181.3014842,7808.510506,5425.780535,81806.65392,63757.98123,619657.2098
79,0.026879,0.973121,0.09679641,76446.80947,2054.813792,193.1054343,7399.776677,5244.47905,73998.14342,58332.20069,537850.5558
80,0.030257,0.969743,0.093977097,74391.99568,2250.878613,205.3699388,6991.143766,5051.373616,66598.36674,53087.72164,463852.4124
81,0.03411,0.96589,0.0912399,72141.11707,2460.733503,217.9777455,6582.148281,4846.003677,59607.22298,48036.34803,397254.0457
82,0.038509,0.961491,0.088582427,69680.38356,2683.321891,230.7720049,6172.457479,4628.025932,53025.07469,43190.34435,337646.8227
83,0.043533,0.956467,0.086002356,66997.06167,2916.583086,243.5272012,5761.905159,4397.253927,46852.61722,38562.31842,284621.748
84,0.049274,0.950726,0.083497433,64080.47859,3157.501502,255.9643404,5350.555477,4153.726726,41090.71206,34165.06449,237769.1308
85,0.055833,0.944167,0.081065469,60922.97709,3401.51258,267.7137989,4938.749715,3897.762385,35740.15658,30011.33777,196678.4187
86,0.063329,0.936671,0.078704339,57521.46451,3642.776826,278.3517882,4527.188837,3630.048586,30801.40686,26113.57538,160938.2622
87,0.071889,0.928111,0.07641198,53878.68768,3873.284979,287.3450218,4116.97718,3351.696798,26274.21803,22483.52679,130136.8553
88,0.08166,0.91834,0.074186388,50005.4027,4083.441185,294.1123802,3709.720201,3064.351776,22157.24085,19131.83,103862.6373
89,0.092798,0.907202,0.072025619,45921.96152,4261.466185,297.9948943,3307.557718,2770.239396,18447.52065,16067.47822,81705.39641
90,0.105476,0.894524,0.069927786,41660.49533,4394.182406,298.3256755,2913.226191,2472.244502,15139.96293,13297.23882,63257.87576
91,0.119875,0.880125,0.067891054,37266.31293,4467.299262,294.4559767,2530.049268,2173.918826,12226.73674,10824.99432,48117.91284
92,0.136184,0.863816,0.065913645,32799.01366,4466.700877,285.841296,2161.902536,1879.46285,9696.687469,8651.075496,35891.1761
93,0.154594,0.845406,0.06399383,28332.31279,4380.005563,272.1294474,1813.093205,1593.621554,7534.784933,6771.612646,26194.48863
94,0.175291,0.824709,0.062129932,23952.30722,4198.623886,253.2623458,1488.155217,1321.492106,5721.691729,5177.991093,18659.7037
95,0.198441,0.801559,0.060320322,19753.68334,3919.940675,229.5651308,1191.548545,1068.22976,4233.536512,3856.498987,12938.01197
96,0.224184,0.775816,0.05856342,15833.74266,3549.671765,201.8261332,927.2781164,838.6646295,3041.987967,2788.269226,8704.475457
97,0.252613,0.747387,0.056857689,12284.0709,3103.116002,171.2970918,698.4438827,636.8384963,2114.709851,1949.604597,5662.48749
98,0.28376,0.71624,0.05520164,9180.954896,2605.187761,139.6219771,506.8037652,465.5414045,1416.265968,1312.7661,3547.777639
99,0.317576,0.682424,0.053593825,6575.767135,2088.305824,108.6604825,352.4205134,325.9194274,909.4622029,847.224696,2131.511671
100,0.353919,0.646081,0.05203284,4487.461311,1588.19782,80.23149787,233.4953557,217.2589449,557.0416895,521.3052686,1222.049468
101,0.39254,0.60746,0.05051732,2899.263491,1138.076891,55.81805317,146.4630223,137.0274471,323.5463338,304.0463237,665.0077786
102,0.433078,0.566922,0.049045942,1761.186601,762.7311706,36.31929004,86.37905583,81.20939389,177.0833115,167.0188766,341.4614448
103,0.475068,0.524932,0.047617419,998.4554299,474.3342242,21.92871038,47.54387096,44.89010385,90.70425567,85.80948272,164.3781333
104,0.517949,0.482051,0.046230504,524.1212058,271.4680544,12.18456801,24.23038764,22.96139347,43.1603847,40.91937887,73.67387766
105,0.561099,0.438901,0.044883985,252.6531514,141.7634306,6.177580246,11.34008019,10.77682546,18.92999706,17.95798541,30.51349296
106,0.603861,0.396139,0.043576684,110.8897208,66.96197768,2.832991219,4.832206344,4.599245213,7.589916874,7.181159949,11.5834959
107,0.645589,0.354411,0.04230746,43.9277431,28.35926774,1.164862715,1.858471251,1.766253994,2.757710529,2.581914736,3.993579025
108,0.685682,0.314318,0.041075204,15.56847536,10.67502332,0.425707537,0.639478306,0.601391279,0.899239278,0.815660742,1.235868496
109,0.72362,0.27638,0.039878839,4.893452038,3.540999764,0.137098019,0.195145186,0.175683741,0.259760973,0.214269463,0.336629218
110,0.758991,0.241009,0.03871732,1.352452274,1.026499104,0.038585722,0.052363327,0.038585722,0.064615786,0.038585722,0.076868245
111,1,0,0.037589631,0.32595317,0.32595317,0,0.012252459,0,0.012252459,0,0.012252459
