Edad,qx,Ix,dx,v^x,k,Dx,Cx,Mx,Rx,Nx,Sx
76,0.044174,55610.38499,2456.533146,0.050753525,64,2822.423081,119.8824204,1844.315241,18352.73869,25430.80383,184029.6937
77,0.047424,53153.85184,2520.76827,0.048801467,65,2593.985926,118.2857582,1724.432821,16508.42344,22608.38075,158598.8898
78,0.050902,50633.08357,2577.32522,0.046924487,66,2375.931479,116.2881386,1606.147063,14783.99062,20014.39482,135990.5091
79,0.054619,48055.75835,2624.757465,0.045119699,67,2168.26136,113.8733339,1489.858924,13177.84356,17638.46334,115976.1143
80,0.058592,45431.00088,2661.893204,0.043384326,68,1970.993359,111.0427335,1375.98559,11687.98464,15470.20198,98337.65094
81,0.062834,42769.10768,2687.354112,0.041715698,69,1784.143188,107.793128,1264.942857,10311.99905,13499.20862,82867.44896
82,0.067362,40081.75357,2699.987084,0.040111248,70,1607.729168,104.1344733,1157.149729,9047.05619,11715.06543,69368.24033
83,0.07219,37381.76648,2698.589723,0.038568508,71,1441.758958,100.07748,1053.015255,7889.906462,10107.33627,57653.1749
84,0.077337,34683.17676,2682.292841,0.037085104,72,1286.22921,95.64721965,952.9377754,6836.891206,8665.577308,47545.83863
85,0.082817,32000.88392,2650.217204,0.035658754,73,1141.111636,90.86869461,857.2905557,5883.953431,7379.348098,38880.26133
86,0.088649,29350.66672,2601.907254,0.034287263,74,1006.354033,85.78103716,766.4218611,5026.662875,6238.236461,31500.91323
87,0.09485,26748.75946,2537.119835,0.032968522,75,881.8670712,80.42797279,680.640824,4260.241014,5231.882428,25262.67677
88,0.101436,24211.63963,2455.931877,0.031700502,76,767.5211341,74.85987862,600.2128512,3579.60019,4350.015357,20030.79434
89,0.108424,21755.70775,2358.840857,0.030481252,77,663.1412119,69.13502188,525.3529725,2979.387339,3582.494223,15680.77898
90,0.115832,19396.86689,2246.777886,0.029308896,78,568.5007588,63.31786528,456.2179507,2454.034367,2919.353011,12098.28476
